,ID
0,1630981
1,1631525
2,1630983
3,1629567
4,1631001
5,1629817
6,1630995
7,1631029
8,1631523
9,1629831
10,1629545
11,1630989
12,1631689
13,1631017
14,1629557
15,1629553
16,1631613
17,1630993
18,1630997
19,1629821
20,1631015
21,1629563
22,1631019
23,1631661
24,1631087
25,1631055
26,1631097
27,1631151
28,1631041
29,1631037
30,1631053
31,1631011
32,1631039
33,1631005
34,1629823
35,1631013
36,1629819
37,1631603
38,1631615
39,1631049
40,1631035
41,1631007
42,1631605
43,1631057
44,1631003
45,1631665
46,5671211
47,5671189
48,5673155
49,5671213
50,5671143
51,5672877
52,5672879
53,5671181
54,5671117
55,5671165
56,5672917
57,5673149
58,5672915
59,5671187
60,5673151
61,5671621
62,5671619
63,5672881
64,5672889
65,5671125
66,5673171
67,5672885
68,5671171
69,5673159
70,5672895
71,5671745
72,5673179
73,5672909
74,5671747
75,5671177
76,5671753
77,5671739
78,5671185
79,5673157
80,5671191
81,5671217
82,5671705
83,5671219
84,5671053
85,5671737
86,5672903
87,5671063
88,5673177
89,5671741
90,5671163
91,5671215
92,5671155
93,5673153
94,5781155
95,5781167
96,5781257
97,5781919
98,5781183
99,5781329
100,5781135
101,5781917
102,5781127
103,5781193
104,5781385
105,5781217
106,5781395
107,5781335
108,5781189
109,5781711
110,5781173
111,5781331
112,5781289
113,5781229
114,5781409
115,5781947
116,5781203
117,5781733
118,5781371
119,5781235
120,5781347
121,5781319
122,5781437
123,5781113
124,5781459
125,5781461
126,5781285
127,5781143
128,5781921
129,5781827
130,5781219
131,5781259
132,5781413
133,5781935
134,5781729
135,5781163
136,5781931
137,5781941
138,5781433
139,5781359
140,5781419
141,5781447
142,5781369
143,5781759
144,5781307
145,5781313
146,5781727
147,5781905
148,5781171
149,5781881
150,5781883
151,5781915
152,5781961
153,5781333
154,5781309
155,5781879
156,5781243
157,5781825
158,5781361
159,5781215
160,5781147
161,5781125
162,5781891
163,5781893
164,5781221
165,5781863
166,5781305
167,5781877
168,5781865
169,5781811
170,5781963
171,5781349
172,5781375
173,5781885
174,5781731
175,5781427
176,5781367
177,5781761
178,5781953
179,5781871
180,5781859
181,5781867
182,5781901
183,5781897
184,5781337
185,5781889
186,5781191
187,5781153
188,5781421
189,5781857
190,5781873
191,5781411
192,5781841
193,5781165
194,5781281
195,5781237
196,5781809
197,5781709
198,5781201
199,5781393
200,5781403
201,5781233
202,5781209
203,5781875
204,5788860
205,5781911
206,5789422
207,5781813
208,5781929
209,5781223
210,5789752
211,5789204
212,5781119
213,5781291
214,5781869
215,5781137
216,5781843
217,5781295
218,5781903
219,5781703
220,5781913
221,5781923
222,5781909
223,5781907
224,5781159
225,5781815
226,5789318
227,5789328
228,5789412
229,5788902
230,5789408
231,5789346
232,5789782
233,5789122
234,5789954
235,5788804
236,5789058
237,5789392
238,5788862
239,5789430
240,5789292
241,5788922
242,5788982
243,5789424
244,5789312
245,5789022
246,5789104
247,5789420
248,5788872
249,5789336
250,5789268
251,5789766
252,5789378
253,5789320
254,5788990
255,5789038
256,5789044
257,5788930
258,5788952
259,5789032
260,5788938
261,5789310
262,5789314
263,5789906
264,5788976
265,5788882
266,5789298
267,5789012
268,5789306
269,5789128
270,5788896
271,5789500
272,5789796
273,5789832
274,5789544
275,5789020
276,5789316
277,5789302
278,5789836
279,5789800
280,5788904
281,5789998
282,5789812
283,5789834
284,5789792
285,5789178
286,5789322
287,5789176
288,5789794
289,5789232
290,5789010
291,5788866
292,5789304
293,5789440
294,5788958
295,5788984
296,5788992
297,5789434
298,5789050
299,5788806
300,5788808
301,5789966
302,5789414
303,5789054
304,5789786
305,5789790
306,5789830
307,5788828
308,5789138
309,5789400
310,5788852
311,5788876
312,5788874
313,5788846
314,5789852
315,5789406
316,5788934
317,5788840
318,5789056
319,5788834
320,5789760
321,5788814
322,5788978
323,5788844
324,5788884
325,5789780
326,5789874
327,5788988
328,5789770
329,5788818
330,5789872
331,5789016
332,5788954
333,5789862
334,5788980
335,5789066
336,5789004
337,5788906
338,5788972
339,5789036
340,5789060
341,5789162
342,5789840
343,5788858
344,5789342
345,5789308
346,5788920
347,5788870
348,5789854
349,5788816
350,5788966
351,5789182
352,5789784
353,5788820
354,5789124
355,5788830
356,5788826
357,5788836
358,5789814
359,5788864
360,5789258
361,5789788
362,5788926
363,5788886
364,5788888
365,5788900
366,5788868
367,5789824
368,5788824
369,5790114
370,5789030
371,5790144
372,5790120
373,5789762
374,5789388
375,5789506
376,5789172
377,5788822
378,5789750
379,5789256
380,5789282
381,5788842
382,5789860
383,5790118
384,5793588
385,5788914
386,5790154
387,5789396
388,5788838
389,5789754
390,5789962
391,5790230
392,5788812
393,5788810
394,5788928
395,5790012
396,5788898
397,5789076
398,5788924
399,5789074
400,5789798
401,5789084
402,5790024
403,5789026
404,5789394
405,5788832
406,5790228
407,5789866
408,5789106
409,5790150
410,5789876
411,5790122
412,5789024
413,5790152
414,5790130
415,5790128
416,5790126
417,5790116
418,5790026
419,5790226
420,5790232
421,5789864
422,5789878
423,5790134
424,1629517
425,1629511
426,1629827
